Entity,Year,WorkingHours,GeneralHappiness
Ireland,2000,1932.723788,87.249886
Ireland,2001,1923.529378,89.659851
Ireland,2002,1904.276271,88.202477
Ireland,2003,1886.786435,85.627922
Ireland,2005,1883.193701,90.569664
Ireland,2006,1878.812957,90.364502
Ireland,2007,1864.932283,89.738579
Ireland,2008,1843.896208,87.774788
Ireland,2009,1811.802986,88.568588
Ireland,2011,1702.176839,86.699509
Ireland,2012,1707.498214,83.516487
Ireland,2013,1719.559077,81.953522
Ireland,2014,1731.046531,90.924469
Ireland,2015,1740.528599,92.790047
Ireland,2016,1738.729375,94.526169
Italy,1973,1954.530641,65.0
Italy,1975,1908.495049,56.558563
Italy,1976,1906.372068,56.195293
Italy,1977,1871.481378,60.807503
Italy,1978,1861.508467,61.395298
Italy,1979,1854.965525,58.743633
Italy,1980,1856.018516,64.157707
Italy,1981,1862.2954,66.863907
Italy,1982,1873.700659,66.953468
Italy,1983,1872.973658,65.423859
Italy,1985,1859.109608,64.409904
Italy,1986,1867.544975,70.451477
Italy,1987,1886.670322,65.512535
Italy,1988,1890.335579,69.561699
Italy,1989,1874.471642,77.277687
Italy,1990,1863.761201,75.038338
Italy,1991,1856.811527,79.310783
Italy,1992,1859.972413,75.001976
Italy,1994,1853.755613,76.549995
Italy,1996,1866.12719,79.964851
Italy,1997,1860.113097,73.420265
Italy,1998,1873.785704,73.319756
Italy,1999,1870.357203,77.095055
Italy,2000,1850.806167,74.110626
Italy,2001,1837.760562,79.965103
Italy,2002,1826.593722,80.091362
Italy,2003,1815.797365,76.018387
Italy,2005,1812.055115,74.702217
Italy,2006,1812.582313,76.183067
Italy,2007,1818.152592,72.725143
Italy,2008,1807.031898,63.697388
Italy,2009,1775.66115,70.077225
Italy,2011,1773.256409,69.031273
Italy,2012,1734.174716,59.234982
Italy,2013,1719.507499,57.187153
Italy,2014,1717.137234,65.72155
Italy,2015,1717.99591,64.64093
Italy,2016,1725.133296,65.210258
Latvia,2005,1905.512047,60.617435
Latvia,2006,1906.828626,62.522865
Latvia,2007,1878.20914,64.643776
Latvia,2008,2002.24914,62.635147
Latvia,2009,1952.22414,53.76984
Latvia,2011,1951.891038,60.316635
Latvia,2012,1934.277192,65.758728
Latvia,2013,1927.752589,67.445549
Latvia,2014,1938.471331,71.856483
Latvia,2015,1901.741282,71.389511
Latvia,2016,1902.489908,74.278404
Lithuania,2005,1878.97193,55.687107
Lithuania,2006,1874.210244,61.215126
Lithuania,2007,1903.75673,63.912083
Lithuania,2008,1933.571514,59.169781
Lithuania,2009,1862.943692,57.086617
Lithuania,2011,1858.872835,56.676411
Lithuania,2012,1857.293905,62.855743
Lithuania,2013,1841.24732,65.049171
Lithuania,2014,1833.529872,70.590057
Lithuania,2015,1859.497426,74.700775
Lithuania,2016,1885.008926,67.856468
Luxembourg,1973,1804.188784,79.0
Luxembourg,1975,1752.727981,79.939392
Luxembourg,1976,1769.303106,87.717453
Luxembourg,1977,1744.03599,89.361954
Luxembourg,1978,1726.320517,86.255089
Luxembourg,1979,1709.602061,93.333336
Luxembourg,1980,1693.288589,92.666664
Luxembourg,1981,1668.880806,93.333336
Luxembourg,1982,1651.12561,90.468231
Luxembourg,1983,1645.458511,89.919571
Luxembourg,1984,1631.78434,90.985512
Luxembourg,1985,1636.342397,91.261978
Luxembourg,1986,1628.137895,92.500473
Luxembourg,1987,1626.314672,92.071442
Luxembourg,1988,1646.370122,87.346626
Luxembourg,1989,1635.430786,94.355263
Luxembourg,1990,1635.430786,93.521591
Luxembourg,1991,1618.11017,93.512978
Luxembourg,1992,1597.143109,94.099998
Luxembourg,1993,1603.524388,92.696472
Luxembourg,1994,1582.557327,94.30619
Luxembourg,1996,1599.540869,88.571426
Luxembourg,1997,1598.043963,93.478264
Luxembourg,1998,1593.306894,88.412285
Luxembourg,1999,1591.776102,90.548317
Luxembourg,2000,1602.239761,89.504486
Luxembourg,2001,1585.708554,92.390846
Luxembourg,2002,1580.687955,92.488647
Luxembourg,2003,1578.911741,86.860954
Luxembourg,2005,1549.847411,93.705154
Luxembourg,2006,1552.265855,92.524452
Luxembourg,2007,1566.300604,93.092094
Luxembourg,2008,1566.986974,92.311157
Luxembourg,2009,1516.470322,95.660378
Luxembourg,2011,1515.052787,96.686119
Luxembourg,2012,1508.102633,94.751831
Luxembourg,2013,1502.700323,93.184448
Luxembourg,2014,1508.261144,93.881119
Luxembourg,2015,1521.013804,95.055534
Luxembourg,2016,1519.5033,95.341072
Netherlands,1973,1746.277933,93.0
