Entity,Year,MentalHealthDALY
Djibouti,2018,1.8484491866895342e-05
Guatemala,2019,0.1227934851822375
Guatemala,2019,1.4157102753670837e-06
Guatemala,2019,0.0007945097021324
Nauru,2021,8.767565213301073e-06
Nauru,2021,9.337179654608252e-08
Nauru,2021,7.952847967538798e-05
Haiti,2018,0.0016047697644384
Haiti,2018,1.5840916634875823e-08
Haiti,2018,1.322335936235802e-05
South Africa,2019,0.0306209072908578
South Africa,2019,5.9418037158572586e-08
South Africa,2019,5.465174007370738e-05
North Macedonia,2021,0.000236690703806
North Macedonia,2021,7.241222550772286e-09
North Macedonia,2021,1.0875156088467569e-05
Ecuador,2019,0.3315548140085823
Ecuador,2019,3.677782558616217e-06
Ecuador,2019,0.0018951487372552
Uganda,2021,0.0094342923346622
Uganda,2021,2.87278019100828e-08
Uganda,2021,2.1780632093437167e-05
Nigeria,2018,0.0502085986177216
Nigeria,2018,2.9488590565544475e-08
Nigeria,2018,2.359560253240665e-05
Central African Republic,2019,0.0004695928200962
Central African Republic,2019,7.038741252810414e-09
Central African Republic,2019,8.886010276586644e-06
Niger,2019,0.0004345336823679
Niger,2019,2.3483666829323056e-09
Niger,2019,1.873381444330482e-06
Ecuador,2018,0.283519977833277
Ecuador,2018,3.18801102747761e-06
Ecuador,2018,0.0016576222531979
Cambodia,2018,0.0291098826717148
Cambodia,2018,2.625765044186555e-07
Cambodia,2018,0.0001781485099739
Libya,2019,0.0049278335839561
Libya,2019,1.3071879136506218e-07
Libya,2019,7.246460705480211e-05
Bahrain,2021,0.0004684801635889
Bahrain,2021,7.4393797963069e-08
Bahrain,2021,3.062769332464382e-05
Peru,2021,0.0997932673407823
Peru,2021,3.098883452670172e-07
Peru,2021,0.0002751340425545
Nepal,2021,0.0333166563858418
Nepal,2021,1.3092256326727978e-07
Nepal,2021,0.000107024920799
Ghana,2018,0.0115680818171935
Ghana,2018,5.300067040715838e-08
Ghana,2018,3.639262949230628e-05
North Macedonia,2019,0.0002620340486808
North Macedonia,2019,1.1100342695890918e-08
North Macedonia,2019,1.1991248503072318e-05
Turkmenistan,2018,0.1099292664867225
Turkmenistan,2018,3.2136417100595307e-06
Turkmenistan,2018,0.0021917507170294
Ghana,2019,0.0122489738801746
Ghana,2019,5.6633621550968506e-08
Ghana,2019,3.7547934301749714e-05
Barbados,2021,0.0001147760819047
Barbados,2021,3.4699076641582746e-08
Barbados,2021,3.83834662740871e-05
United States Virgin Islands,2018,2.18666352485776e-05
United States Virgin Islands,2018,2.5609176544701568e-08
United States Virgin Islands,2018,2.3715624582868924e-05
Japan,2018,45.14630918883736
Japan,2018,3.320586807466925e-05
Japan,2018,0.0350762273418225
Burkina Faso,2018,0.0008143968617629
Burkina Faso,2018,4.215418446984387e-09
Burkina Faso,2018,3.883434632603067e-06
Syrian Arab Republic,2018,0.0026462346852724
Syrian Arab Republic,2018,2.3542201599363933e-08
Syrian Arab Republic,2018,1.8664153743668674e-05
Palau,2018,1.828132828234982e-05
Palau,2018,1.007579474138484e-07
Palau,2018,0.0001014042094534
Djibouti,2019,0.0002293131275112
Djibouti,2019,3.0773355086785465e-08
Djibouti,2019,1.918544896855356e-05
Algeria,2018,0.0120544672503465
Algeria,2018,6.432596836188567e-08
Algeria,2018,2.8578688164909483e-05
Lao People's Democratic Republic,2021,0.0119532570672827
Lao People's Democratic Republic,2021,2.340969770662529e-07
